PK,CCR,HIERARCHY,INCIDENTTIME,incident_year,incident_month,incident_day_of_week,incident_time_12hr,incident_hour,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
247497583,21044593,10,2021-03-16T19:07:00Z,2021,March,Tuesday,07:07 PM,07 PM,"1600 Block Crucible St Pittsburgh, PA 15220",Y,Crafton Heights,6,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner / 2709.2 Stalking Conduct or Repeatedly Communicates,2814,2,5,-80.0517211557198,40.4474571296139
247497876,21044638,27,2021-03-16T20:13:00Z,2021,March,Tuesday,08:13 PM,08 PM,"Brushton Ave & Frankstown Ave Pittsburgh, PA 15221",N,Homewood South,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1304,9,2,-79.8880963867104,40.4555344380276
247536058,21044848,27,2021-03-17T08:37:00Z,2021,March,Wednesday,08:37 AM,08 AM,"1900 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1702,3,3,-79.9789683022639,40.4284737765025
247606417,21045394,99,2021-03-18T01:09:00Z,2021,March,Thursday,01:09 AM,01 AM,"1700 Block Forbes Ave NE Pittsburgh, PA 15219",N,Bluff,2,AIDED CASE,9497 Aided Case,103,6,3,-79.9825115217312,40.4373994771782
247606891,21045365,99,2021-03-18T00:08:00Z,2021,March,Thursday,12:08 AM,12 AM,"800 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,2304,1,1,-79.9967109310997,40.4544186679224
247612961,21045476,24,2021-03-18T06:11:00Z,2021,March,Thursday,06:11 AM,06 AM,"700 Block Mc Lain St Pittsburgh, PA 15210",Y,Allentown,3,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1803,3,5,-79.9958385034292,40.4242109104584
247631356,21045558,4,2021-03-18T10:18:00Z,2021,March,Thursday,10:18 AM,10 AM,"400 Block N Highland Ave Pittsburgh, PA 15206",Y,East Liberty,5,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person.,1115,9,2,-79.9221749446935,40.4651657848127
247634380,21045602,0,2021-03-18T11:45:00Z,2021,March,Thursday,11:45 AM,11 AM,"Penn Ave & N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident):,1115,9,2,-79.9248213510388,40.4614220791187
247679086,21046031,99,2021-03-19T01:36:00Z,2021,March,Friday,01:36 AM,01 AM,"4300 Block NW Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,FIRES (SELF STARTING),9493 Fires (Self-Starting),902,7,2,-79.9600458283935,40.4705854885513
247679734,21046008,0,2021-03-19T00:02:00Z,2021,March,Friday,12:02 AM,12 AM,"4700 Block Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,AGRICULTURAL VANDALISM,3309 Driving on Roadways Laned for Traffic. / 4302 Periods for Requiring Lighted Lamps. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving,809,7,2,-79.9498576275047,40.4620780855382
247679847,21046057,18,2021-03-19T02:58:00Z,2021,March,Friday,02:58 AM,02 AM,"Anderson St & Lacock St Pittsburgh, PA 15212",Y,North Shore,1,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 1543 Driving While Operating Privilege is Suspended or Revoked.,2205,1,6,-80.0009835408411,40.449682086318
247683584,21045666,14,2021-03-18T05:00:00Z,2021,March,Thursday,05:00 AM,05 AM,"Penn Ave & S Fairmount St Pittsburgh, PA 15206",N,Friendship,5,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",807,9,2,-79.9324924982014,40.4641324659651
247715299,21046317,11,2021-03-15T12:00:00Z,2021,March,Monday,12:00 PM,12 PM,"4600 Block Marina Dr Pittsburgh, PA 15207",N,New Homestead,4,IDENTITY THEFT,4120 Identity Theft,3103,5,3,-79.9218542206046,40.3865596550326
247716339,21046307,10,2021-03-17T02:00:00Z,2021,March,Wednesday,02:00 AM,02 AM,"2100 Block Whited St Pittsburgh, PA 15210",Y,Brookline,6,HARRASSMENT,2709(a) Harassment.,3206,4,5,-80.0028839965615,40.3962985689137
247716344,21046190,99,2021-03-19T10:42:00Z,2021,March,Friday,10:42 AM,10 AM,"1300 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,6,3,-79.9881564274288,40.4385460875043
247722463,21046369,11,2021-03-19T00:01:00Z,2021,March,Friday,12:01 AM,12 AM,"1600 Block Arlington Ave Pittsburgh, PA 15210",N,South Side Slopes,3,IDENTITY THEFT,4120 Identity Theft,1706,,,-79.9881615180371,40.4184960810882
247538424,21044877,29,2021-03-17T10:00:00Z,2021,March,Wednesday,10:00 AM,10 AM,"700 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2609,1,1,-79.9982412589835,40.4759997700279
247563745,21044975,0,2021-03-17T13:07:00Z,2021,March,Wednesday,01:07 PM,01 PM,"1600 Block Colwell St Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): Wounded Deer,305,6,3,-79.9837553408815,40.4390180249239
247205886,21042417,4,2021-03-13T04:52:00Z,2021,March,Saturday,04:52 AM,04 AM,"3900 Block Wind Gap Ave Pittsburgh, PA 15204",Y,Windgap,6,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2807,2,5,-80.0767117991421,40.4598619173186
247254604,21042974,0,2021-03-14T01:04:00Z,2021,March,Sunday,01:04 AM,01 AM,"Penn Ave & N Evaline St Pittsburgh, PA 15224",N,Bloomfield,5,DUI - GENERAL IMPAIRMENT,1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment / 1786 Required Financial Responsibility. / 3353 Prohibitions in Specified Places.,809,7,2,-79.9411389737243,40.4647528354162
247256085,21043000,0,2021-03-14T05:18:00Z,2021,March,Sunday,05:18 AM,05 AM,"West Liberty Ave & Wenzell Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident):,1920,4,5,-80.0261665210339,40.3983434163792
247200015,21042383,99,2021-03-13T02:54:00Z,2021,March,Saturday,02:54 AM,02 AM,"2100 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,AIDED CASE,9497 Aided Case,1609,3,3,-79.9761229323827,40.4274305580603
247212257,21042503,27,2021-03-13T09:20:00Z,2021,March,Saturday,09:20 AM,09 AM,"200 Block Traymore Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1916,4,5,-80.0133039348214,40.411873171841
247217160,21042540,6,2021-03-13T10:00:00Z,2021,March,Saturday,10:00 AM,10 AM,"2400 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2904,4,3,-79.9835557643587,40.3869345976778
247219207,21042550,0,2021-03-13T09:04:00Z,2021,March,Saturday,09:04 AM,09 AM,"Penn Ave & 21st St Pittsburgh, PA 15222",N,Strip District,2,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,203,7,6,-79.9831188728584,40.4516926436637
247228219,21042612,11,2021-03-13T12:00:00Z,2021,March,Saturday,12:00 PM,12 PM,"200 Block Charles St Pittsburgh, PA 15210",N,Knoxville,3,IDENTITY THEFT,4120 Identity Theft,3001,3,5,-79.9907456942582,40.4164630770812
247230491,21042632,27,2021-03-13T13:40:00Z,2021,March,Saturday,01:40 PM,01 PM,"1700 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9821080843195,40.4279267668472
247244484,21042742,23,2021-03-13T17:39:00Z,2021,March,Saturday,05:39 PM,05 PM,"Blvd Of The Allies & Grant St Pittsburgh, PA 15219",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 9998 Overdose Other,201,6,6,-79.9983661522927,40.4370717537066
247257249,21042720,0,2021-03-13T17:41:00Z,2021,March,Saturday,05:41 PM,05 PM,"Lenora St & Meadow St Pittsburgh, PA 15206",Y,Larimer,5,99,4524 Windshield Obstructions and Wipers. / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs.,1204,9,2,-79.9154610143765,40.4661476096451
247260913,21042542,99,2021-03-13T11:29:00Z,2021,March,Saturday,11:29 AM,11 AM,"7000 Block Chaucer St Pittsburgh, PA 15208",N,Homewood North,5,DRUG INVESTIGATION,9124 Drug Investigation / 1301 Registration and Certificate of Title Required.,1301,9,2,-79.8989993902863,40.463857363849
247261056,21042563,99,2021-03-13T12:10:00Z,2021,March,Saturday,12:10 PM,12 PM,"7200 Block Lemington Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,DRUG INVESTIGATION,9124 Drug Investigation / 1371 Operation Following Suspension of Registration.,1202,9,2,-79.8937220743909,40.4669448658643
247271571,21043124,18,2021-03-14T11:45:00Z,2021,March,Sunday,11:45 AM,11 AM,"Apple Ave & Grotto St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9124 Drug Investigation / 4524 Windshield Obstructions and Wipers.,1202,9,2,-79.897558487507,40.4643508274342
247283050,21043264,10,2021-03-14T16:02:00Z,2021,March,Sunday,04:02 PM,04 PM,"1000 Block Emporia St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 908 Prohibited Offensive Weapons. / 2902 Unlawful Restraint.,2022,2,5,-80.0599527488434,40.4538633857714
247397100,21043942,27,2021-03-15T18:41:00Z,2021,March,Monday,06:41 PM,06 PM,"700 Block Dunster St Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1917,4,5,-80.0119085146487,40.4021870644725
247228697,21042592,10,2021-03-13T12:46:00Z,2021,March,Saturday,12:46 PM,12 PM,"6900 Block Kelly St Pittsburgh, PA 15208",N,Homewood West,5,SIMPLE ASSAULT,2706 Terroristic Threats. / 2701 Simple Assault.,1207,9,2,-79.9043607371358,40.4571985079463
247239771,21042715,0,2021-03-13T13:39:00Z,2021,March,Saturday,01:39 PM,01 PM,"300 Block La Belle St Pittsburgh, PA 15211",N,Mount Washington,3,99,9093 Indirect Criminal Contempt,1903,2,5,-80.0164860218775,40.4331458987988
247248024,21042876,0,2021-03-13T22:12:00Z,2021,March,Saturday,10:12 PM,10 PM,"500 Block Lowell St Pittsburgh, PA 15206",N,Larimer,5,99,8106 Shots Fired,1204,9,2,-79.9110388201036,40.462227231643
247281138,21043204,99,2021-03-14T13:38:00Z,2021,March,Sunday,01:38 PM,01 PM,"2300 Block E  Hills Dr Pittsburgh, PA 15221",N,Homewood South,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1304,9,2,-79.871328586779,40.4566162367709
247480478,21044369,99,2021-03-16T14:04:00Z,2021,March,Tuesday,02:04 PM,02 PM,"Grant St & Liberty Ave Pittsburgh, PA 15219",Y,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-79.9938486569304,40.443835037462
247494489,21044600,99,2021-03-16T19:16:00Z,2021,March,Tuesday,07:16 PM,07 PM,"Gertrude St & Trowbridge St Pittsburgh, PA 15207",N,Hazelwood,4,FOUND PROPERTY,9489 Found Property,1515,5,3,-79.9417274701439,40.4055673529468
247494536,21044022,10,2021-03-15T22:00:00Z,2021,March,Monday,10:00 PM,10 PM,"600 Block Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5101 Obstructing Admin. of Law,201,6,6,-80.0064088164826,40.4417408925392
247495890,21044570,6,2021-03-16T17:55:00Z,2021,March,Tuesday,05:55 PM,05 PM,"400 Block 4th Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,7,2,-79.9520626773619,40.4667132444277
247371394,21043695,10,2021-03-15T11:29:00Z,2021,March,Monday,11:29 AM,11 AM,"3000 Block Merwyn Ave Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault.,2018,2,5,-80.0518596858958,40.4572755472928
247387249,21043846,99,2021-03-15T16:40:00Z,2021,March,Monday,04:40 PM,04 PM,"Forbes Ave & Wood St Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-80.0008299342523,40.4400971296583
247389558,21043870,0,2021-03-15T17:30:00Z,2021,March,Monday,05:30 PM,05 PM,"1200 Block Creedmoor Ave Pittsburgh, PA 15226",N,Brookline,6,99,9998 Overdose Other,1918,4,5,-80.0140604558459,40.390228162275
247395201,21043948,99,2021-03-15T18:18:00Z,2021,March,Monday,06:18 PM,06 PM,"1200 Block Tweed St Pittsburgh, PA 15204",N,Sheraden,6,MENTAL 201/302,9498 302 (Mental),2022,2,5,-80.0642529480014,40.4554594061618
247397819,21043953,14,2021-03-15T18:59:00Z,2021,March,Monday,06:59 PM,06 PM,"400 Block Wood St Pittsburgh, PA 15222",Y,Central Business District,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,6,6,-80.0010801398374,40.4394331511613
247401490,21044018,5,2021-03-15T21:30:00Z,2021,March,Monday,09:30 PM,09 PM,"100 Block Stewart Ave Pittsburgh, PA 15227",N,Carrick,3,BURGLARY,3502 Burglary.,2904,4,3,-79.979466107848,40.3824895484088
247405546,21044022,10,2021-03-15T22:00:00Z,2021,March,Monday,10:00 PM,10 PM,"600 Block Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5101 Obstructing Admin. of Law,201,6,6,-80.0064088164826,40.4417408925392
247408772,21044076,99,2021-03-16T00:40:00Z,2021,March,Tuesday,12:40 AM,12 AM,"600 Block Wood St Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-79.9994765276478,40.4421288537324
247198195,21042324,0,2021-03-13T01:04:00Z,2021,March,Saturday,01:04 AM,01 AM,"300 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,99,8106 Shots Fired,3001,3,5,-79.9935231972566,40.4097874382891
247199239,21042360,27,2021-03-13T02:08:00Z,2021,March,Saturday,02:08 AM,02 AM,"100 Block Reifert St Pittsburgh, PA 15210",N,Bon Air,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1806,4,5,-79.9981253667769,40.4090812269608
247534978,21028449,3,2021-03-17T09:15:00Z,2021,March,Wednesday,09:15 AM,09 AM,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Homewood North,5,ROBBERY,3701 Robbery. / 903 Criminal Conspiracy.,1302,6,3,-79.9738397090324,40.4509833047534
247538428,21029556,3,2021-03-17T09:15:00Z,2021,March,Wednesday,09:15 AM,09 AM,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Homewood North,5,ROBBERY,3701 Robbery.,1301,6,3,-79.9738397090324,40.4509833047534
247554586,21044922,11,2021-03-13T12:00:00Z,2021,March,Saturday,12:00 PM,12 PM,"1900 Block Antietam St Pittsburgh, PA 15206",N,Morningside,5,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,1014,7,2,-79.9230959551186,40.4858106573776
247587042,21045106,0,2021-03-17T15:18:00Z,2021,March,Wednesday,03:18 PM,03 PM,"Reed St & Dinwiddie St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,99,3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving,305,6,3,-79.9805601917083,40.4413297144993
247605027,21045312,18,2021-03-17T22:14:00Z,2021,March,Wednesday,10:14 PM,10 PM,"800 Block Western Ave Pittsburgh, PA 15233",Y,Allegheny West,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3111 Obedience to Traffic-Control Devices. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving,2201,1,1,-80.0140594448068,40.4524152752896
247605272,21045327,6,2021-03-16T23:00:00Z,2021,March,Tuesday,11:00 PM,11 PM,"1000 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,3,-79.9908396644848,40.4385727798308
247248096,21042837,3,2021-03-13T20:43:00Z,2021,March,Saturday,08:43 PM,08 PM,"2900 Block Merwyn Ave Pittsburgh, PA 15204",N,Sheraden,6,ROBBERY OF MOTOR VEHICLE,3702 Robbery of Motor Vehicle. / 903 Criminal Conspiracy.,2018,2,5,-80.0504243954382,40.45572961317
247252372,21042942,24,2021-03-14T00:17:00Z,2021,March,Sunday,12:17 AM,12 AM,"6800 Block Kelly St Pittsburgh, PA 15208",N,Homewood West,5,DISORDERLY CONDUCT,5503 Disorderly Conduct. / 5507 Obstructing Highways and Passages. / 3354 Additional Parking Regulations. / 9992 Governor's Order Violation,1207,9,2,-79.9061805661239,40.4574680497039
247254552,21043013,0,2021-03-14T03:34:00Z,2021,March,Sunday,03:34 AM,03 AM,"6500 Block hamilton Ave Pittsburgh, PA 15206",N,Larimer,5,99,8106 Shots Fired,1208,9,2,-79.9142657236002,40.4589924478051
247254700,21043029,0,2021-03-14T04:10:00Z,2021,March,Sunday,04:10 AM,04 AM,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): Business check-Nuisance Bar,2022,2,5,-80.0611043000205,40.4538722967083
247255842,21043019,21,2021-03-14T03:53:00Z,2021,March,Sunday,03:53 AM,03 AM,"S Dallas Ave & Forbes Ave Pittsburgh, PA 15217",Y,Squirrel Hill North,4,DUI - GENERAL IMPAIRMENT,3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3353 Prohibitions in Specified Places. / 3802(a)(1) DUI - General Impairment,1403,5,3,-79.9130861770491,40.4380357969726
247282985,21043260,27,2021-03-14T16:14:00Z,2021,March,Sunday,04:14 PM,04 PM,"S Braddock Ave & Biddle Ave Pittsburgh, PA 15218",N,Regent Square,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,1410,5,3,-79.8964296058076,40.4368746390112
247245625,21042763,10,2021-03-13T17:02:00Z,2021,March,Saturday,05:02 PM,05 PM,"6th Ave & Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9977344808488,40.4414644213446
247286530,21043365,99,2021-03-14T19:30:00Z,2021,March,Sunday,07:30 PM,07 PM,"2000 Block Fairlawn St Pittsburgh, PA 15221",N,East Hills,5,FOUND PROPERTY,9489 Found Property,1306,9,2,-79.870082490458,40.4503575260423
247293756,21042895,27,2021-03-13T23:10:00Z,2021,March,Saturday,11:10 PM,11 PM,"800 Block Brightridge St Pittsburgh, PA 15212",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2614,6,1,-80.0178920357851,40.4623824262448
247360550,21043696,99,2021-03-15T11:30:00Z,2021,March,Monday,11:30 AM,11 AM,"100 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1115,7,2,-79.919381630796,40.4726220390404
247371310,21043646,99,2021-03-15T10:18:00Z,2021,March,Monday,10:18 AM,10 AM,"600 Block Paulson Ave Pittsburgh, PA 15206",N,Larimer,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1204,9,2,-79.9103991000789,40.4646086179298
247620411,21044507,14,2021-03-18T01:30:00Z,2021,March,Thursday,01:30 AM,01 AM,"5600 Block Baum Blvd Pittsburgh, PA 15232",N,Friendship,5,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",807,7,2,-79.9353306779472,40.457716905211
247624634,21045484,99,2021-03-18T07:10:00Z,2021,March,Thursday,07:10 AM,07 AM,"7300 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1302,9,2,-79.8941108231131,40.4569083893921
247631361,21044920,0,2021-03-17T11:33:00Z,2021,March,Wednesday,11:33 AM,11 AM,"100 Block Waterfront St Pittsburgh, PA 15222",N,Crawford-Roberts,2,99,"5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",305,1,6,-79.9775112036997,40.4634262447486
247586110,21045082,10,2021-03-17T16:05:00Z,2021,March,Wednesday,04:05 PM,04 PM,"300 Block 3rd Ave Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.0016135598372,40.4388661313797
